model,cv_rmse,rmse,r2,training_time
LinearRegression,1.3997527071805822,1.413854817374271,0.05831950589754731,0.012732744216918945
Ridge,1.399604589855558,1.4138551840067464,0.058319017515443106,0.007598161697387695
Lasso,1.39775386281956,1.4173995545436624,0.05359173011291496,0.015485048294067383
RandomForest,1.4722235084248378,0.5820385585739883,0.8404130202059474,4.900891065597534
GradientBoosting,1.4703241388981856,1.0808499815134975,0.44966798062202595,1.4325401782989502
XGBoost,1.583401498291285,0.19911276687989712,0.98132364340618,0.7476608753204346
SVR,1.407500171882224,1.4322546906001143,0.03365000406369567,1.170936107635498
