feature,importance,std
sqft_living,0.0403191923849119,0.015268036538567035
city_freq,0.025507623800984404,0.008100276001106113
sqft_above,0.010483129862545137,0.006265428719858696
zipcode_freq,0.009654329824922814,0.0031390321359406497
bedrooms,0.004699989541093652,0.003057666552236073
bathrooms,0.0012196861049866502,0.0014884216978831362
floors,0.0012011917665964988,0.0011667938418518412
view,0.0009780355344650715,0.0006191939593713569
sqft_lot,0.00010944959421921308,0.0012016293056191444
waterfront,6.328690346502075e-05,3.5495020256255364e-05
condition,-0.00014408196656170435,0.0001541286473036505
yr_built,-0.00042835020235392206,0.00032132000338705593
yr_renovated,-0.0010112431190325566,0.0009234865920207358
sqft_basement,-0.004571226018725827,0.002534948112536984
